500 400
1 9 74
1 75 45
2 75 45
2 9 74
3 75 45
3 9 74
4 75 45
4 9 74
5 75 45
5 9 74
6 75 45
6 9 74
7 75 45
7 9 74
8 75 45
8 9 74
9 75 45
9 9 74
10 75 45
10 9 74
11 75 45
11 9 74
12 75 45
12 9 74
13 75 45
13 9 74
14 75 45
14 9 74
15 75 45
15 9 74
16 75 45
16 9 74
17 75 45
17 9 74
18 75 45
18 9 74
19 75 45
19 9 74
20 75 45
20 9 74
21 75 45
21 9 74
22 75 45
22 9 74
23 75 45
23 9 74
24 75 45
24 9 74
25 75 45
25 9 74
26 75 45
26 9 74
27 75 45
27 9 74
28 75 45
28 9 74
29 75 45
29 9 74
30 75 45
30 9 74
31 75 45
31 9 74
32 75 45
32 9 74
33 75 45
33 9 74
34 75 45
34 9 74
35 75 45
35 9 74
36 75 45
36 9 74
37 75 45
37 9 74
38 75 45
38 9 74
39 75 45
39 9 74
40 75 45
40 9 74
41 75 45
41 9 74
42 75 45
42 9 74
43 75 45
43 9 74
44 75 45
44 9 74
45 75 45
45 9 74
46 75 45
46 9 74
47 75 45
47 9 74
48 75 45
48 9 74
49 75 45
49 9 74
50 75 45
50 9 74
51 75 45
51 9 74
52 75 45
52 9 74
53 75 45
53 9 74
54 75 45
54 9 74
55 75 45
55 9 74
56 75 45
56 9 74
57 75 45
57 9 74
58 75 45
58 9 74
59 75 45
59 9 74
60 75 45
60 9 74
61 75 45
61 9 74
62 75 45
62 9 74
63 75 45
63 9 74
64 75 45
64 9 74
65 75 45
65 9 74
66 75 45
66 9 74
67 75 45
67 9 74
68 75 45
68 9 74
69 75 45
69 9 74
70 75 45
70 9 74
71 75 45
71 9 74
72 75 45
72 9 74
73 75 45
73 9 74
74 75 45
74 9 74
75 75 45
75 9 74
76 75 45
76 9 74
77 75 45
77 9 74
78 75 45
78 9 74
79 75 45
79 9 74
80 75 45
80 9 74
81 75 45
81 9 74
82 75 45
82 9 74
83 75 45
83 9 74
84 75 45
84 9 74
85 75 45
85 9 74
86 75 45
86 9 74
87 75 45
87 9 74
88 75 45
88 9 74
89 75 45
89 9 74
90 75 45
90 9 74
91 75 45
91 9 74
92 75 45
92 9 74
93 75 45
93 9 74
94 75 45
94 9 74
95 75 45
95 9 74
96 75 45
96 9 74
97 75 45
97 9 74
98 75 45
98 9 74
99 75 45
99 9 74
100 75 45
100 9 74
101 75 45
101 9 74
102 75 45
102 9 74
103 75 45
103 9 74
104 75 45
104 9 74
105 75 45
105 9 74
106 75 45
106 9 74
107 75 45
107 9 74
108 75 45
108 9 74
109 75 45
109 9 74
110 75 45
110 9 74
111 75 45
111 9 74
112 75 45
112 9 74
113 75 45
113 9 74
114 75 45
114 9 74
115 75 45
115 9 74
116 75 45
116 9 74
117 75 45
117 9 74
118 75 45
118 9 74
119 75 45
119 9 74
120 75 45
120 9 74
121 75 45
121 9 74
122 75 45
122 9 74
123 75 45
123 9 74
124 75 45
124 9 74
125 75 45
125 9 74
126 75 45
126 9 74
127 75 45
127 9 74
128 75 45
128 9 74
129 75 45
129 9 74
130 75 45
130 9 74
131 75 45
131 9 74
132 75 45
132 9 74
133 75 45
133 9 74
134 75 45
134 9 74
135 75 45
135 9 74
136 75 45
136 9 74
137 75 45
137 9 74
138 75 45
138 9 74
139 75 45
139 9 74
140 75 45
140 9 74
141 75 45
141 9 74
142 75 45
142 9 74
143 75 45
143 9 74
144 75 45
144 9 74
145 75 45
145 9 74
146 75 45
146 9 74
147 75 45
147 9 74
148 75 45
148 9 74
149 75 45
149 9 74
150 75 45
150 9 74
151 75 45
151 9 74
152 75 45
152 9 74
153 75 45
153 9 74
154 75 45
154 9 74
155 75 45
155 9 74
156 75 45
156 9 74
157 75 45
157 9 74
158 75 45
158 9 74
159 75 45
159 9 74
160 75 45
160 9 74
161 75 45
161 9 74
162 75 45
162 9 74
163 75 45
163 9 74
164 75 45
164 9 74
165 75 45
165 9 74
166 75 45
166 9 74
167 75 45
167 9 74
168 75 45
168 9 74
169 75 45
169 9 74
170 75 45
170 9 74
171 75 45
171 9 74
172 75 45
172 9 74
173 75 45
173 9 74
174 75 45
174 9 74
175 75 45
175 9 74
176 75 45
176 9 74
177 75 45
177 9 74
178 75 45
178 9 74
179 75 45
179 9 74
180 75 45
180 9 74
181 75 45
181 9 74
182 75 45
182 9 74
183 75 45
183 9 74
184 75 45
184 9 74
185 75 45
185 9 74
186 75 45
186 9 74
187 75 45
187 9 74
188 75 45
188 9 74
189 75 45
189 9 74
190 75 45
190 9 74
191 75 45
191 9 74
192 75 45
192 9 74
193 75 45
193 9 74
194 75 45
194 9 74
195 75 45
195 9 74
196 75 45
196 9 74
197 75 45
197 9 74
198 75 45
198 9 74
199 75 45
199 9 74
200 75 45
200 9 74
201 75 45
201 9 74
202 75 45
202 9 74
203 75 45
203 9 74
204 75 45
204 9 74
205 75 45
205 9 74
206 75 45
206 9 74
207 75 45
207 9 74
208 75 45
208 9 74
209 75 45
209 9 74
210 75 45
210 9 74
211 75 45
211 9 74
212 75 45
212 9 74
213 75 45
213 9 74
214 75 45
214 9 74
215 75 45
215 9 74
216 75 45
216 9 74
217 75 45
217 9 74
218 75 45
218 9 74
219 75 45
219 9 74
220 75 45
220 9 74
221 75 45
221 9 74
222 75 45
222 9 74
223 75 45
223 9 74
224 75 45
224 9 74
225 75 45
225 9 74
226 75 45
226 9 74
227 75 45
227 9 74
228 75 45
228 9 74
229 75 45
229 9 74
230 75 45
230 9 74
231 75 45
231 9 74
232 75 45
232 9 74
233 75 45
233 9 74
234 75 45
234 9 74
235 75 45
235 9 74
236 75 45
236 9 74
237 75 45
237 9 74
238 75 45
238 9 74
239 75 45
239 9 74
240 75 45
240 9 74
241 75 45
241 9 74
242 75 45
242 9 74
243 75 45
243 9 74
244 75 45
244 9 74
245 75 45
245 9 74
246 75 45
246 9 74
247 75 45
247 9 74
248 75 45
248 9 74
249 75 45
249 9 74
250 75 45
250 9 74
251 75 45
251 9 74
252 75 45
252 9 74
253 75 45
253 9 74
254 75 45
254 9 74
255 75 45
255 9 74
256 75 45
256 9 74
257 75 45
257 9 74
258 75 45
258 9 74
259 75 45
259 9 74
260 75 45
260 9 74
261 75 45
261 9 74
262 75 45
262 9 74
263 75 45
263 9 74
264 75 45
264 9 74
265 75 45
265 9 74
266 75 45
266 9 74
267 75 45
267 9 74
268 75 45
268 9 74
269 75 45
269 9 74
270 75 45
270 9 74
271 75 45
271 9 74
272 75 45
272 9 74
273 75 45
273 9 74
274 75 45
274 9 74
275 75 45
275 9 74
276 75 45
276 9 74
277 75 45
277 9 74
278 75 45
278 9 74
279 75 45
279 9 74
280 75 45
280 9 74
281 75 45
281 9 74
282 75 45
282 9 74
283 75 45
283 9 74
284 75 45
284 9 74
285 75 45
285 9 74
286 75 45
286 9 74
287 75 45
287 9 74
288 75 45
288 9 74
289 75 45
289 9 74
290 75 45
290 9 74
291 75 45
291 9 74
292 75 45
292 9 74
293 75 45
293 9 74
294 75 45
294 9 74
295 75 45
295 9 74
296 75 45
296 9 74
297 75 45
297 9 74
298 75 45
298 9 74
299 75 45
299 9 74
300 75 45
300 9 74
301 75 45
301 9 74
302 75 45
302 9 74
303 75 45
303 9 74
304 75 45
304 9 74
305 75 45
305 9 74
306 75 45
306 9 74
307 75 45
307 9 74
308 75 45
308 9 74
309 75 45
309 9 74
310 75 45
310 9 74
311 75 45
311 9 74
312 75 45
312 9 74
313 75 45
313 9 74
314 75 45
314 9 74
315 75 45
315 9 74
316 75 45
316 9 74
317 75 45
317 9 74
318 75 45
318 9 74
319 75 45
319 9 74
320 75 45
320 9 74
321 75 45
321 9 74
322 75 45
322 9 74
323 75 45
323 9 74
324 75 45
324 9 74
325 75 45
325 9 74
326 75 45
326 9 74
327 75 45
327 9 74
328 75 45
328 9 74
329 75 45
329 9 74
330 75 45
330 9 74
331 75 45
331 9 74
332 75 45
332 9 74
333 75 45
333 9 74
334 75 45
334 9 74
335 75 45
335 9 74
336 75 45
336 9 74
337 75 45
337 9 74
338 75 45
338 9 74
339 75 45
339 9 74
340 75 45
340 9 74
341 75 45
341 9 74
342 75 45
342 9 74
343 75 45
343 9 74
344 75 45
344 9 74
345 75 45
345 9 74
346 75 45
346 9 74
347 75 45
347 9 74
348 75 45
348 9 74
349 75 45
349 9 74
350 75 45
350 9 74
351 75 45
351 9 74
352 75 45
352 9 74
353 75 45
353 9 74
354 75 45
354 9 74
355 75 45
355 9 74
356 75 45
356 9 74
357 75 45
357 9 74
358 75 45
358 9 74
359 75 45
359 9 74
360 75 45
360 9 74
361 75 45
361 9 74
362 75 45
362 9 74
363 75 45
363 9 74
364 75 45
364 9 74
365 75 45
365 9 74
366 75 45
366 9 74
367 75 45
367 9 74
368 75 45
368 9 74
369 75 45
369 9 74
370 75 45
370 9 74
371 75 45
371 9 74
372 75 45
372 9 74
373 75 45
373 9 74
374 75 45
374 9 74
375 75 45
375 9 74
376 75 45
376 9 74
377 75 45
377 9 74
378 75 45
378 9 74
379 75 45
379 9 74
380 75 45
380 9 74
381 75 45
381 9 74
382 75 45
382 9 74
383 75 45
383 9 74
384 75 45
384 9 74
385 75 45
385 9 74
386 75 45
386 9 74
387 75 45
387 9 74
388 75 45
388 9 74
389 75 45
389 9 74
390 75 45
390 9 74
391 75 45
391 9 74
392 75 45
392 9 74
393 75 45
393 9 74
394 75 45
394 9 74
395 75 45
395 9 74
396 75 45
396 9 74
397 75 45
397 9 74
398 75 45
398 9 74
399 75 45
399 9 74
400 75 45
400 9 74
401 75 45
401 9 74
402 75 45
402 9 74
403 75 45
403 9 74
404 75 45
404 9 74
405 75 45
405 9 74
406 75 45
406 9 74
407 75 45
407 9 74
408 75 45
408 9 74
409 75 45
409 9 74
410 75 45
410 9 74
411 75 45
411 9 74
412 75 45
412 9 74
413 75 45
413 9 74
414 75 45
414 9 74
415 75 45
415 9 74
416 75 45
416 9 74
417 75 45
417 9 74
418 75 45
418 9 74
419 75 45
419 9 74
420 75 45
420 9 74
421 75 45
421 9 74
422 75 45
422 9 74
423 75 45
423 9 74
424 75 45
424 9 74
425 75 45
425 9 74
426 75 45
426 9 74
427 75 45
427 9 74
428 75 45
428 9 74
429 75 45
429 9 74
430 75 45
430 9 74
431 75 45
431 9 74
432 75 45
432 9 74
433 75 45
433 9 74
434 75 45
434 9 74
435 75 45
435 9 74
436 75 45
436 9 74
437 75 45
437 9 74
438 75 45
438 9 74
439 75 45
439 9 74
440 75 45
440 9 74
441 75 45
441 9 74
442 75 45
442 9 74
443 75 45
443 9 74
444 75 45
444 9 74
445 75 45
445 9 74
