400 400
1 50 21
1 75 14
2 75 14
2 50 21
3 75 14
3 50 21
4 75 14
4 50 21
5 75 14
5 50 21
6 75 14
6 50 21
7 75 14
7 50 21
8 75 14
8 50 21
9 75 14
9 50 21
10 75 14
10 50 21
11 75 14
11 50 21
12 75 14
12 50 21
13 75 14
13 50 21
14 75 14
14 50 21
15 75 14
15 50 21
16 75 14
16 50 21
17 75 14
17 50 21
18 75 14
18 50 21
19 75 14
19 50 21
20 75 14
20 50 21
21 75 14
21 50 21
22 75 14
22 50 21
23 75 14
23 50 21
24 75 14
24 50 21
25 75 14
25 50 21
26 75 14
26 50 21
27 75 14
27 50 21
28 75 14
28 50 21
29 75 14
29 50 21
30 75 14
30 50 21
31 75 14
31 50 21
32 75 14
32 50 21
33 75 14
33 50 21
34 75 14
34 50 21
35 75 14
35 50 21
36 75 14
36 50 21
37 75 14
37 50 21
38 75 14
38 50 21
39 75 14
39 50 21
40 75 14
40 50 21
41 75 14
41 50 21
42 75 14
42 50 21
43 75 14
43 50 21
44 75 14
44 50 21
45 75 14
45 50 21
46 75 14
46 50 21
47 75 14
47 50 21
48 75 14
48 50 21
49 75 14
49 50 21
50 75 14
50 50 21
51 75 14
51 50 21
52 75 14
52 50 21
53 75 14
53 50 21
54 75 14
54 50 21
55 75 14
55 50 21
56 75 14
56 50 21
57 75 14
57 50 21
58 75 14
58 50 21
59 75 14
59 50 21
60 75 14
60 50 21
61 75 14
61 50 21
62 75 14
62 50 21
63 75 14
63 50 21
64 75 14
64 50 21
65 75 14
65 50 21
66 75 14
66 50 21
67 75 14
67 50 21
68 75 14
68 50 21
69 75 14
69 50 21
70 75 14
70 50 21
71 75 14
71 50 21
72 75 14
72 50 21
73 75 14
73 50 21
74 75 14
74 50 21
75 75 14
75 50 21
76 75 14
76 50 21
77 75 14
77 50 21
78 75 14
78 50 21
79 75 14
79 50 21
80 75 14
80 50 21
81 75 14
81 50 21
82 75 14
82 50 21
83 75 14
83 50 21
84 75 14
84 50 21
85 75 14
85 50 21
86 75 14
86 50 21
87 75 14
87 50 21
88 75 14
88 50 21
89 75 14
89 50 21
90 75 14
90 50 21
91 75 14
91 50 21
92 75 14
92 50 21
93 75 14
93 50 21
94 75 14
94 50 21
95 75 14
95 50 21
96 75 14
96 50 21
97 75 14
97 50 21
98 75 14
98 50 21
99 75 14
99 50 21
100 75 14
100 50 21
101 75 14
101 50 21
102 75 14
102 50 21
103 75 14
103 50 21
104 75 14
104 50 21
105 75 14
105 50 21
106 75 14
106 50 21
107 75 14
107 50 21
108 75 14
108 50 21
109 75 14
109 50 21
110 75 14
110 50 21
111 75 14
111 50 21
112 75 14
112 50 21
113 75 14
113 50 21
114 75 14
114 50 21
115 75 14
115 50 21
116 75 14
116 50 21
117 75 14
117 50 21
118 75 14
118 50 21
119 75 14
119 50 21
120 75 14
120 50 21
121 75 14
121 50 21
122 75 14
122 50 21
123 75 14
123 50 21
124 75 14
124 50 21
125 75 14
125 50 21
126 75 14
126 50 21
127 75 14
127 50 21
128 75 14
128 50 21
129 75 14
129 50 21
130 75 14
130 50 21
131 75 14
131 50 21
132 75 14
132 50 21
133 75 14
133 50 21
134 75 14
134 50 21
135 75 14
135 50 21
136 75 14
136 50 21
137 75 14
137 50 21
138 75 14
138 50 21
139 75 14
139 50 21
140 75 14
140 50 21
141 75 14
141 50 21
142 75 14
142 50 21
143 75 14
143 50 21
144 75 14
144 50 21
145 75 14
145 50 21
146 75 14
146 50 21
147 75 14
147 50 21
148 75 14
148 50 21
149 75 14
149 50 21
150 75 14
150 50 21
151 75 14
151 50 21
152 75 14
152 50 21
153 75 14
153 50 21
154 75 14
154 50 21
155 75 14
155 50 21
156 75 14
156 50 21
157 75 14
157 50 21
158 75 14
158 50 21
159 75 14
159 50 21
160 75 14
160 50 21
161 75 14
161 50 21
162 75 14
162 50 21
163 75 14
163 50 21
164 75 14
164 50 21
165 75 14
165 50 21
166 75 14
166 50 21
167 75 14
167 50 21
168 75 14
168 50 21
169 75 14
169 50 21
170 75 14
170 50 21
171 75 14
171 50 21
172 75 14
172 50 21
173 75 14
173 50 21
174 75 14
174 50 21
175 75 14
175 50 21
176 75 14
176 50 21
177 75 14
177 50 21
178 75 14
178 50 21
179 75 14
179 50 21
180 75 14
180 50 21
181 75 14
181 50 21
182 75 14
182 50 21
183 75 14
183 50 21
184 75 14
184 50 21
185 75 14
185 50 21
186 75 14
186 50 21
187 75 14
187 50 21
188 75 14
188 50 21
189 75 14
189 50 21
190 75 14
190 50 21
191 75 14
191 50 21
192 75 14
192 50 21
193 75 14
193 50 21
194 75 14
194 50 21
195 75 14
195 50 21
196 75 14
196 50 21
197 75 14
197 50 21
198 75 14
198 50 21
199 75 14
199 50 21
200 75 14
200 50 21
201 75 14
201 50 21
202 75 14
202 50 21
203 75 14
203 50 21
204 75 14
204 50 21
205 75 14
205 50 21
206 75 14
206 50 21
207 75 14
207 50 21
208 75 14
208 50 21
209 75 14
209 50 21
210 75 14
210 50 21
211 75 14
211 50 21
212 75 14
212 50 21
213 75 14
213 50 21
214 75 14
214 50 21
215 75 14
215 50 21
216 75 14
216 50 21
217 75 14
217 50 21
218 75 14
218 50 21
219 75 14
219 50 21
220 75 14
220 50 21
221 75 14
221 50 21
222 75 14
222 50 21
223 75 14
223 50 21
224 75 14
224 50 21
225 75 14
225 50 21
226 75 14
226 50 21
227 75 14
227 50 21
228 75 14
228 50 21
229 75 14
229 50 21
230 75 14
230 50 21
231 75 14
231 50 21
232 75 14
232 50 21
233 75 14
233 50 21
234 75 14
234 50 21
235 75 14
235 50 21
236 75 14
236 50 21
237 75 14
237 50 21
238 75 14
238 50 21
239 75 14
239 50 21
240 75 14
240 50 21
241 75 14
241 50 21
242 75 14
242 50 21
243 75 14
243 50 21
244 75 14
244 50 21
245 75 14
245 50 21
246 75 14
246 50 21
247 75 14
247 50 21
248 75 14
248 50 21
249 75 14
249 50 21
250 75 14
250 50 21
251 75 14
251 50 21
252 75 14
252 50 21
253 75 14
253 50 21
254 75 14
254 50 21
255 75 14
255 50 21
256 75 14
256 50 21
257 75 14
257 50 21
258 75 14
258 50 21
259 75 14
259 50 21
260 75 14
260 50 21
261 75 14
261 50 21
262 75 14
262 50 21
263 75 14
263 50 21
264 75 14
264 50 21
265 75 14
265 50 21
266 75 14
266 50 21
267 75 14
267 50 21
268 75 14
268 50 21
269 75 14
269 50 21
270 75 14
270 50 21
271 75 14
271 50 21
272 75 14
272 50 21
273 75 14
273 50 21
274 75 14
274 50 21
275 75 14
275 50 21
276 75 14
276 50 21
277 75 14
277 50 21
278 75 14
278 50 21
279 75 14
279 50 21
280 75 14
280 50 21
281 75 14
281 50 21
282 75 14
282 50 21
283 75 14
283 50 21
284 75 14
284 50 21
285 75 14
285 50 21
286 75 14
286 50 21
287 75 14
287 50 21
288 75 14
288 50 21
289 75 14
289 50 21
290 75 14
290 50 21
291 75 14
291 50 21
292 75 14
292 50 21
293 75 14
293 50 21
294 75 14
294 50 21
295 75 14
295 50 21
296 75 14
296 50 21
297 75 14
297 50 21
298 75 14
298 50 21
299 75 14
299 50 21
300 75 14
300 50 21
301 75 14
301 50 21
302 75 14
302 50 21
303 75 14
303 50 21
304 75 14
304 50 21
305 75 14
305 50 21
306 75 14
306 50 21
307 75 14
307 50 21
308 75 14
308 50 21
309 75 14
309 50 21
310 75 14
310 50 21
311 75 14
311 50 21
312 75 14
312 50 21
313 75 14
313 50 21
314 75 14
314 50 21
315 75 14
315 50 21
316 75 14
316 50 21
317 75 14
317 50 21
318 75 14
318 50 21
319 75 14
319 50 21
320 75 14
320 50 21
321 75 14
321 50 21
322 75 14
322 50 21
323 75 14
323 50 21
324 75 14
324 50 21
325 75 14
325 50 21
326 75 14
326 50 21
327 75 14
327 50 21
328 75 14
328 50 21
329 75 14
329 50 21
330 75 14
330 50 21
331 75 14
331 50 21
332 75 14
332 50 21
333 75 14
333 50 21
334 75 14
334 50 21
335 75 14
335 50 21
336 75 14
336 50 21
337 75 14
337 50 21
338 75 14
338 50 21
339 75 14
339 50 21
340 75 14
340 50 21
341 75 14
341 50 21
342 75 14
342 50 21
343 75 14
343 50 21
344 75 14
344 50 21
345 75 14
345 50 21
346 75 14
346 50 21
347 75 14
347 50 21
348 75 14
348 50 21
349 75 14
349 50 21
350 75 14
350 50 21
351 75 14
351 50 21
352 75 14
352 50 21
353 75 14
353 50 21
354 75 14
354 50 21
355 75 14
355 50 21
356 75 14
356 50 21
357 75 14
357 50 21
358 75 14
358 50 21
359 75 14
359 50 21
360 75 14
360 50 21
361 75 14
361 50 21
362 75 14
362 50 21
363 75 14
363 50 21
364 75 14
364 50 21
365 75 14
365 50 21
366 75 14
366 50 21
367 75 14
367 50 21
368 75 14
368 50 21
369 75 14
369 50 21
370 75 14
370 50 21
371 75 14
371 50 21
372 75 14
372 50 21
373 75 14
373 50 21
374 75 14
374 50 21
375 75 14
375 50 21
376 75 14
376 50 21
377 75 14
377 50 21
378 75 14
378 50 21
379 75 14
379 50 21
380 75 14
380 50 21
381 75 14
381 50 21
382 75 14
382 50 21
383 75 14
383 50 21
384 75 14
384 50 21
385 75 14
385 50 21
386 75 14
386 50 21
387 75 14
387 50 21
388 75 14
388 50 21
389 75 14
389 50 21
390 75 14
390 50 21
391 75 14
391 50 21
392 75 14
392 50 21
393 75 14
393 50 21
394 75 14
394 50 21
395 75 14
395 50 21
396 75 14
396 50 21
397 75 14
397 50 21
398 75 14
398 50 21
399 75 14
399 50 21
400 75 14
400 50 21
